id,clothtype,type,price,pricerate,weight,quality,level,material,occupation,condition1,condition2,stat1,stat2,defense,magicresistence,atkdistmvsped,attackpower,attackspeed,itemgrade
1,1,111,850,10,1,30,1,53,0|0|0,0|0,0|0,14|5,0|0,0,0,0,0,0,0
2,1,111,950,10,1,31,2,54,0|0|0,0|0,0|0,14|6,0|0,0,0,0,0,0,0
3,1,111,1000,10,2,32,3,49,0|0|0,0|0,0|0,14|6,0|0,0,0,0,0,0,0
4,1,111,1100,10,1,33,3,50,0|0|0,0|0,0|0,14|7,0|0,0,0,0,0,0,0
5,1,111,1100,10,1,34,4,51,0|0|0,0|0,0|0,14|7,0|0,0,0,0,0,0,0
6,1,111,1250,10,2,35,4,52,0|0|0,0|0,0|0,14|8,0|0,0,0,0,0,0,0
7,1,111,1350,10,3,36,5,57,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
8,1,111,1400,10,10,37,6,58,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
9,1,111,1550,10,5,38,7,55,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
10,1,111,1550,10,7,39,7,0,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
11,1,111,1700,10,5,40,8,56,0|0|0,0|0,0|0,14|11,0|0,0,0,0,0,0,0
12,1,111,1850,0,0,41,8,0,0|0|0,0|0,0|0,14|12,0|0,0,0,0,0,0,0
13,1,111,1850,10,2,42,9,59,0|0|0,31|70,0|0,21|15,22|10,0,0,0,0,0,0
14,1,111,2050,0,0,43,9,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
15,1,111,2100,0,0,44,9,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
16,1,111,2250,0,0,45,9,0,0|0|0,0|0,0|0,14|14,0|0,0,0,0,0,0,0
17,1,111,2400,0,0,46,17,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
18,1,111,2450,0,0,47,18,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
19,1,111,2600,0,0,48,7,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
20,1,111,2650,0,0,49,8,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
21,1,111,2850,0,0,50,8,0,0|0|0,0|0,0|0,14|17,0|0,0,0,0,0,0,0
22,1,111,3050,0,0,51,8,0,0|0|0,0|0,0|0,14|18,0|0,0,0,0,0,0,0
23,1,111,3100,0,0,52,9,0,0|0|0,0|0,0|0,14|18,0|0,0,0,0,0,0,0
24,1,111,3300,0,0,53,9,0,0|0|0,0|0,0|0,14|19,0|0,0,0,0,0,0,0
25,1,111,3350,0,0,54,9,0,0|0|0,0|0,0|0,14|19,0|0,0,0,0,0,0,0
26,1,111,3550,0,0,55,9,0,0|0|0,0|0,0|0,14|20,0|0,0,0,0,0,0,0
27,1,111,3750,0,0,56,10,0,0|0|0,0|0,0|0,14|21,0|0,0,0,0,0,0,0
28,1,111,3800,0,0,57,10,0,0|0|0,0|0,0|0,14|21,0|0,0,0,0,0,0,0
29,1,111,4000,0,0,58,10,0,0|0|0,0|0,0|0,14|22,0|0,0,0,0,0,0,0
30,1,111,4100,0,0,59,10,0,0|0|0,0|0,0|0,14|22,0|0,0,0,0,0,0,0
31,1,112,1000,10,2,30,2,64,0|0|0,0|0,0|0,14|5,0|0,0,0,0,0,0,0
32,1,112,1100,10,2,31,3,65,0|0|0,0|0,0|0,14|6,0|0,0,0,0,0,0,0
33,1,112,1150,10,2,32,4,66,0|0|0,0|0,0|0,14|6,0|0,0,0,0,0,0,0
34,1,112,1250,10,2,33,5,67,0|0|0,0|0,0|0,14|7,0|0,0,0,0,0,0,0
35,1,112,1300,10,2,34,6,68,0|0|0,0|0,0|0,14|7,0|0,0,0,0,0,0,0
36,1,112,1400,10,5,35,0,0,0|0|0,0|0,0|0,14|8,0|0,0,0,0,0,0,0
37,1,112,1550,0,0,36,4,0,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
38,1,112,1600,10,3,37,9,69,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
39,1,112,1700,0,0,38,5,0,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
40,1,112,1750,0,0,39,5,0,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
41,1,112,1900,0,0,40,5,0,0|0|0,0|0,0|0,14|11,0|0,0,0,0,0,0,0
42,1,112,2050,0,0,41,6,0,0|0|0,0|0,0|0,14|12,0|0,0,0,0,0,0,0
43,1,112,2100,0,0,42,6,0,0|0|0,0|0,0|0,14|12,0|0,0,0,0,0,0,0
44,1,112,2250,0,0,43,6,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
45,1,112,2300,0,0,44,6,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
46,1,112,2450,0,0,45,7,0,0|0|0,0|0,0|0,14|14,0|0,0,0,0,0,0,0
47,1,112,2650,0,0,46,7,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
48,1,112,2700,0,0,47,7,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
49,1,112,2850,0,0,48,7,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
50,1,112,2900,0,0,49,8,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
