id,life,walkspeed,runspeed,drivespeed,weapon,subweapon,level,hp,attackpower,hitrate,defense,magicdefense,dodge,attackspeed,AI,exp,dropid,money,item,tab1,tab2,tab3,specialtab,attackdistance,aggresive,shp
0,0,1,1,100,0,0,1,1,1,1,1,1,1,1,101,0,100,0,60,0,0,0,0,300,1,0
1,0,160,370,56,0,0,2,14,12,56,8,3,5,100,101,11,100,0,60,0,0,0,0,190,1,0
2,0,170,390,75,0,0,3,13,15,57,9,4,6,100,102,15,101,0,60,0,0,0,0,210,1,0
3,0,175,400,95,0,0,5,12,21,60,12,6,8,100,103,24,104,0,60,0,0,0,0,220,1,0
4,0,220,490,85,161,0,4,18,18,60,12,6,7,107,104,26,102,0,60,0,0,0,0,200,4,0
5,0,200,450,75,0,0,6,15,26,61,14,7,8,105,104,34,105,0,60,0,0,0,0,250,3,0
8,0,110,150,130,0,0,1,24,9,55,6,3,5,100,91,6,100,0,60,0,0,0,0,150,1,280
9,0,120,160,135,0,0,1,25,9,55,6,3,5,100,91,6,100,0,60,0,0,0,0,155,1,280
10,0,130,160,140,0,0,2,16,12,56,8,3,5,100,91,11,100,0,60,0,0,0,0,160,1,280
11,0,160,242,35,0,0,4,11,18,59,10,5,7,100,3,20,103,0,60,0,0,0,0,180,1,0
12,0,175,260,40,0,0,6,11,25,61,13,6,9,100,3,29,106,0,60,0,0,0,0,200,1,0
13,0,180,266,50,0,0,7,19,28,57,19,6,8,95,2,36,107,0,60,0,0,0,0,220,2,0
15,0,180,266,55,0,0,11,21,49,62,28,9,12,95,2,54,114,0,60,0,0,0,0,230,2,0
21,0,200,260,50,0,0,9,12,40,65,19,10,12,100,3,42,112,0,60,0,0,0,0,230,1,0
22,0,200,260,60,0,0,10,21,43,60,26,9,11,95,2,49,115,0,60,0,0,0,0,230,2,0
23,0,230,400,110,0,0,13,18,65,71,30,17,15,105,21,66,121,0,60,0,0,0,0,250,3,0
24,0,200,260,120,0,0,18,162,163,85,51,31,21,110,80,548,130,0,60,0,0,0,0,250,11,0
31,0,200,290,50,1071,0,21,19,138,83,50,30,30,100,22,93,152,0,60,0,0,0,0,1600,1,0
32,0,250,400,90,1071,0,22,23,181,92,37,32,38,90,26,107,156,0,60,0,0,0,0,1800,5,0
33,0,220,314,95,1071,0,23,27,188,102,40,42,50,97,27,116,160,0,60,0,0,0,0,1800,6,0
34,0,240,338,140,1071,0,23,37,158,90,65,42,35,110,28,140,161,0,60,0,0,0,0,2000,8,0
41,0,0,0,55,1072,0,7,12,30,63,15,7,10,100,15,33,108,0,60,0,0,0,0,1750,1,0
42,0,0,0,115,1072,0,8,15,37,70,11,9,13,105,15,43,109,0,60,0,0,0,0,1750,5,0
43,0,0,0,100,1073,0,16,19,93,82,23,20,25,105,15,80,134,0,60,0,0,0,0,2400,5,0
