id,level,sp,type,range,target,power,duration,mp,success,weapon,class,requireskills,levelskills,stat1,value1,value2,stat2,value1,value2,stat3,value1,value2,char_level,aoe,aoeradius
10,0,0,1,1,0,0,0,0,100,0|0|0|0|0,0|0|0|0|0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,1,2,0,0,0,0,100,0|0|0|0|0,0|0|0|0|0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,6,0,0,0,0,0,0|0|0|0|0,0|0|0|0|0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,1,9,0,0,0,0,100,0|0|0|0|0,0|0|0|0|0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,10,0,0,0,0,100,0|0|0|0|0,0|0|0|0|0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,1,11,0,0,0,0,100,0|0|0|0|0,0|0|0|0|0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,1,12,0,0,0,0,0,0|0|0|0|0,0|0|0|0|0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,2,0,0,41,0,0,100,0|0|0|0|0,0|0|0|0|0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,1,13,0,0,0,0,100,0|0|0|0|0,0|0|0|0|0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,1,500
19,0,0,1,15,0,5,0,0,0,0|0|0|0|0,0|0|0|0|0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,1,1000
201,1,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,54,0,2,54,100,0,0,0,0,0,0,0
202,2,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,54,0,3,54,200,0,0,0,0,0,0,0
203,3,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,54,0,4,54,300,0,0,0,0,0,0,0
204,4,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,54,0,5,54,400,0,0,0,0,0,0,0
205,5,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,54,0,6,54,500,0,0,0,0,0,0,0
206,6,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,54,0,7,54,600,0,0,0,0,0,0,0
207,7,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,54,0,8,54,700,0,0,0,0,0,0,0
208,8,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,54,0,9,54,800,0,0,0,0,0,0,0
209,9,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,54,0,10,54,900,0,0,0,0,0,0,0
211,1,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,201|0|0,1|0|0,56,2,0,0,0,0,0,0,0,0,0,0
212,2,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,201|0|0,2|0|0,56,3,0,0,0,0,0,0,0,0,0,0
213,3,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,201|0|0,3|0|0,56,4,0,0,0,0,0,0,0,0,0,0
214,4,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,201|0|0,4|0|0,56,5,0,0,0,0,0,0,0,0,0,0
215,5,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,201|0|0,5|0|0,56,6,0,0,0,0,0,0,0,0,0,0
216,6,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,201|0|0,6|0|0,56,7,0,0,0,0,0,0,0,0,0,0
217,7,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,201|0|0,7|0|0,56,8,0,0,0,0,0,0,0,0,0,0
218,8,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,201|0|0,8|0|0,56,9,0,0,0,0,0,0,0,0,0,0
219,9,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,201|0|0,9|0|0,56,10,0,0,0,0,0,0,0,0,0,0
221,1,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,53,5,0,53,0,1,0,0,0,0,0,0
222,2,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,53,10,0,53,0,1,0,0,0,0,0,0
223,3,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,53,10,0,53,0,2,0,0,0,0,0,0
224,4,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,53,15,0,53,0,2,0,0,0,0,0,0
225,5,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,53,15,0,53,0,3,0,0,0,0,0,0
226,6,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,53,20,0,53,0,3,0,0,0,0,0,0
227,7,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,53,20,0,53,0,4,0,0,0,0,0,0
228,8,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,53,25,0,53,0,4,0,0,0,0,0,0
229,9,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,53,25,0,53,0,5,0,0,0,0,0,0
231,1,1,8,0,0,0,300,20,100,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,18,0,3,19,0,1,0,0,0,0,0,0
232,2,1,8,0,0,0,300,40,100,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,18,0,6,19,0,2,0,0,0,0,0,0
233,3,1,8,0,0,0,300,60,100,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,18,0,9,19,0,3,0,0,0,0,0,0
